name;label;description
interlink;Interlink fct;È possibile utilizzarlo solo negli impianti dotati di sonde di valore nominale diverse (ad es. 2º termostato ambientale). Questa impostazione di parametro offre la possibilità di utilizzare 2 valori nominali. Non appena viene attivata questa funzione (ad es. connettendo un ulteriore convettore HP), a seconda della richiesta, la regolazione avviene in base a 2 valori nominali. Il secondo valore nominale corrisponde al normale valore nominale +5 K (in caso di raffrescamento -5 K). 0: Disattivato 1: Attivato (testo dal manuale installatore) La temperatura di mandata viene modificata quando il secondo contatto del RT (contatto raffreddamento, Connettore J16) è chiuso al valore impostato nel parametro “T-Flow CH adj“ o „T-Flow Cooling adj“ ( RoCon HP, Cap. 6.2.2, Tab. 6-2).
air_purge;Air Purge;Activation of automatic bleeding of the ROTEX HPSU compact and the connected heating circuit
max_perf_pump;PWM MAX;Limite superiore della modulazione del segnale PWM. (testo del manuale installatore) Max Performance - Definisce l'energia massima prodotta dalla pompa
min_perf_pump;PWM MIN;Limite inferiore della modulazione del segnale PWM. (testo del manuale installatore) Min Performance - Definisce la potenza minima dalla pompa
outside_conf;Outside Config;Parametro per la configurazione del sensore di temperatura esterna. Se il parametro è attivato e non è stato collegato alcun sensore esterno, viene generato un messaggio di errore. 0: Disattivato 1: Attivato
storage_conf;Storage Config;Con questo parametro, è possibile parametrare il sensore dell'approntamento di acqua calda. Nell'impostazione 0: "Inattivo" non viene valutato alcun sensore e la funzionalità dell'approntamento di acqua calda è disattivata. Nell'impostazione 1: "Sensore" viene valutato un sensore e la funzionalità dell'approntamento di acqua calda è attivata. Nell'impostazione 2: "Termostato", per l'approntamento di acqua calda viene valutato un interruttore del termostato (ON /OFF), in cui il "contatto aperto" viene valutato come "nessuna necessità". La funzionalità dell'approntamento di acqua calda viene attivata. 0: Inattivo 1: Sensore 2: Termostato
pres_conf;Pressure Config; Parametro per la configurazione del sensore per la registrazione della pressione dell'acqua Impianto. 0: Disattivato 1: Attivato
out_temp_adapt;Outside Temp Adap;Con questo parametro si può impostare un adeguamento personalizzato per il valore di misurazione della temperatura esterna rilevante per la regolazione.
power_dhw;BOH power;Potenza calorifica del riscaldatore elettrico aggiuntivo per l'approntamento di acqua calda
buh_s1_pow;BUH s1 power;Potenza calorifica del riscaldatore elettrico aggiuntivo per il sostegno al riscaldamento livello 1 (in W) (testo dal manuale installatore) Definisce l'energia prodotta dall'elemento elettronico riscaldante installato, collegato al rispettivo stadio, e limita l'energia che viene utilizzata come supporto al riscaldamento del serbatoio attraverso la valvola miscelatrice. Se durante il supporto al riscaldamento attraverso l'elemento riscaldante elettronico il serbatoio diventa troppo caldo o si raffredda eccessivamente, si può verificare una deriva del sensore. Questo può essere contrastato modificando il valore del parametro come da Tab.3-4.
buh_s2_pow;BUH s2 power;Potenza calorifica del riscaldatore elettrico aggiuntivo per il sostegno al riscaldamento livello 2 (in W) (testo dal manuale installatore) Definisce l'energia prodotta dall'elemento elettronico riscaldante installato, collegato al rispettivo stadio, e limita l'energia che viene utilizzata come supporto al riscaldamento del serbatoio attraverso la valvola miscelatrice. Se durante il supporto al riscaldamento attraverso l'elemento riscaldante elettronico il serbatoio diventa troppo caldo o si raffredda eccessivamente, si può verificare una deriva del sensore. Questo può essere contrastato modificando il valore del parametro come da Tab.3-4.
power_biv;Power BIV;Potenza calorifica del generatore di calore alternativo. Serve alla limitazione del sostegno al riscaldamento. La potenza viene azionata con il sostegno al riscaldamento fino a quando non si raggiunge il parametro limite di temperatura [Overtemp CH Support].
tdiff_dhw_ch;TDiff-DHW CH;TDiff-DHW CH
t_vbh1_max;T vbh1 max;Massima temperatura di mandata (controllata tramite la valvola di miscelazione integrata). Limita il sostegno al riscaldamento alla temperatura immessa. (alternativo) Temperatura di erogazione massima dell'acqua (misurata su tV, BH) con funzione "heating support" attiva
equi_temp;Temp. di bivalenza; Temperatura esterna a partire dalla quale viene attivato il riscaldatore aggiuntivo opzionale per il sostegno al riscaldamento ambientale. La temperatura bivalente è rilevante per il funzionamento del riscaldatore aggiuntivo opzionale a seguito di una richiesta di back-up [modalità di riscaldamento ambientale]. A tale scopo viene utilizzato il sensore di temperatura integrato sull'apparecchio esterno della pompa di calore (si differenzia da quelli indicato nel display).
quiet_mode;Quiet Mode;Modalità per operatività silenziosa con output ridotto
aux_fct;AUX Fzn;Attribuzione delle condizioni di attivazione per il contatto AUX. 0: Funzione disattivata 1: TDHW 1 min 2: Modalità di funzionamento 3: BUH 4: Errore 5: TVBH1 save 6: BIV parallelo 7: BIV alternativo 8: BOH
aux_time;AUX Tempo;Tempo di ritardo (isteresi) funzione speciale, dopo questo periodo viene attivato il contatto AUX.
t_dhw_1_min;T-DHW min; Soglia di attivazione per contatto AUX dipendente dalla temperatura vedere RPS3 (BSK) / Soglia di commutazione della temperatura del serbatorio di accumulo (Tdhw) per il contatto di commutazione AUX (vedi parametro [AUX Fct])
delta_t_ch;Spread CH;(Delta-T CH) Differenza di temperatura soglia superiore dimodulazione per modalità di riscaldamento. (traduzione non disponibile) Set outdoor temperature spread The ROTEX HPSU compact heating circulation pump controls the flow rate in order to achieve the set spread between the inflow target temperature and the return flow temperature (tV, BH – tR1)
v_var;V var;La portata d'aria minima necessaria dell'unità (valore aritmetico, non impostabile)
t_flow_ch_adj;T-Flow CH adj;(traduzione non disponibile) Only when parameter [Interlink fct] = On. With a closed cooling RT switching contact, the inflow target temperature is increased by the set value
t_flow_cool_adj;T-Flow Cooling adj;(traduzione non disponibile) Only when parameter [Interlink fct] = On. With a closed cooling RT switching contact, the cooling inflow target temperature is reduced by the set value
min_pressure;Min Pressure;Indica la pressione minima dell'acqua
max_pressure;Max Pressure;Indica la pressione massima dell'acqua
setpoint_pressure;Set Point Pressure;Indica la pressione obiettivo dell'acqua
max_pressure_drop;Max Pressuredrop;Indica il massimo calo di pressione accettabile nel sistema di riscaldamento
hc_func;HC Function;Al circuito di riscaldamento si possono attribuire varie funzionalità. 0: Regolazione circuito di riscaldamento standard (curva climatica) 1: Regolazione a un valore nominale di mandata fisso, a seconda della modalità di riscaldamento o riduzione
t_frost_protect;Antigelo;0=Nessuna protezione del circuito di riscaldamento, Altrimenti: Se la temperatura esterna scende al di sotto del valore programmato, l'impianto passa alla modalità di protezione dal congelamento (accensione della pompa). La funzionalità si disattiva una volta che la temperatura esterna ha raggiunto il valore impostato +1 K
insulation;Livello Isolamento;Con questo parametro, è possibile parametrare lo standard di coibentazione dell'edificio. IN tal modo si influenza la curva di riscaldamento e i tempi di riscaldamento e raffrescamento. 0: off 1: scarso 2: normale 3: buono 4: ottimo (testo del manuale installatore) A seconda dell'isolamento dell'edificio, la media della temperatura esterna viene calcolata su un dato periodo di tempo. Perciò può succedere che la pompa di calore non si accenda immediatamente quando la temperatura esterna raggiunge un valore inferiore a quello impostato in „Temp.-Lim Giorno“ . La temperatura esterna media può essere visualizzata nel livello Informazioni sotto la voce „T-Esterna“
screed;Massetto;Con questo parametro si può attivare la funzione di asciugatura del massetto. La temperatura nominale di mandata viene regolata in base al programma massetto parametrato. Il giorno in cui viene attivata la funzione massetto non viene conteggiato nella durata del programma massetto. Il primo giorno comincia quindi al volgere del giorno ovvero alle ore 00:00. Per le restanti ore del giorno di attivazione, il riscaldamento segue l'impostazione del primo giorno di programma.
screed_day1;Temp programma massetto giorno 1;In questa immissione si può parametrare il programma di svolgimento del riscaldamento del massetto. Si può impostare una temperatura nominale di mandata propria per una durata massima di 28 giorni separatamente per ogni giorno. La fine del programma massetto viene definita il primo giorno con l'impostazione del valore nominale "- - - -".
screed_day2;Temp programma massetto giorno 2;In questa immissione si può parametrare il programma di svolgimento del riscaldamento del massetto. Si può impostare una temperatura nominale di mandata propria per una durata massima di 28 giorni separatamente per ogni giorno. La fine del programma massetto viene definita il primo giorno con l'impostazione del valore nominale "- - - -".
screed_day3;Temp programma massetto giorno 3;In questa immissione si può parametrare il programma di svolgimento del riscaldamento del massetto. Si può impostare una temperatura nominale di mandata propria per una durata massima di 28 giorni separatamente per ogni giorno. La fine del programma massetto viene definita il primo giorno con l'impostazione del valore nominale "- - - -".
screed_day4;Temp programma massetto giorno 4;In questa immissione si può parametrare il programma di svolgimento del riscaldamento del massetto. Si può impostare una temperatura nominale di mandata propria per una durata massima di 28 giorni separatamente per ogni giorno. La fine del programma massetto viene definita il primo giorno con l'impostazione del valore nominale "- - - -".
screed_day5;Temp programma massetto giorno 5;In questa immissione si può parametrare il programma di svolgimento del riscaldamento del massetto. Si può impostare una temperatura nominale di mandata propria per una durata massima di 28 giorni separatamente per ogni giorno. La fine del programma massetto viene definita il primo giorno con l'impostazione del valore nominale "- - - -".
screed_day6;Temp programma massetto giorno 6;In questa immissione si può parametrare il programma di svolgimento del riscaldamento del massetto. Si può impostare una temperatura nominale di mandata propria per una durata massima di 28 giorni separatamente per ogni giorno. La fine del programma massetto viene definita il primo giorno con l'impostazione del valore nominale "- - - -".
screed_day7;Temp programma massetto giorno 7;In questa immissione si può parametrare il programma di svolgimento del riscaldamento del massetto. Si può impostare una temperatura nominale di mandata propria per una durata massima di 28 giorni separatamente per ogni giorno. La fine del programma massetto viene definita il primo giorno con l'impostazione del valore nominale "- - - -".
screed_day8;Temp programma massetto giorno 8;In questa immissione si può parametrare il programma di svolgimento del riscaldamento del massetto. Si può impostare una temperatura nominale di mandata propria per una durata massima di 28 giorni separatamente per ogni giorno. La fine del programma massetto viene definita il primo giorno con l'impostazione del valore nominale "- - - -".
screed_day9;Temp programma massetto giorno 9;In questa immissione si può parametrare il programma di svolgimento del riscaldamento del massetto. Si può impostare una temperatura nominale di mandata propria per una durata massima di 28 giorni separatamente per ogni giorno. La fine del programma massetto viene definita il primo giorno con l'impostazione del valore nominale "- - - -".
screed_day10;Temp programma massetto giorno 10;In questa immissione si può parametrare il programma di svolgimento del riscaldamento del massetto. Si può impostare una temperatura nominale di mandata propria per una durata massima di 28 giorni separatamente per ogni giorno. La fine del programma massetto viene definita il primo giorno con l'impostazione del valore nominale "- - - -".
screed_day11;Temp programma massetto giorno 11;In questa immissione si può parametrare il programma di svolgimento del riscaldamento del massetto. Si può impostare una temperatura nominale di mandata propria per una durata massima di 28 giorni separatamente per ogni giorno. La fine del programma massetto viene definita il primo giorno con l'impostazione del valore nominale "- - - -".
screed_day12;Temp programma massetto giorno 12;In questa immissione si può parametrare il programma di svolgimento del riscaldamento del massetto. Si può impostare una temperatura nominale di mandata propria per una durata massima di 28 giorni separatamente per ogni giorno. La fine del programma massetto viene definita il primo giorno con l'impostazione del valore nominale "- - - -".
screed_day13;Temp programma massetto giorno 13;In questa immissione si può parametrare il programma di svolgimento del riscaldamento del massetto. Si può impostare una temperatura nominale di mandata propria per una durata massima di 28 giorni separatamente per ogni giorno. La fine del programma massetto viene definita il primo giorno con l'impostazione del valore nominale "- - - -".
screed_day14;Temp programma massetto giorno 14;In questa immissione si può parametrare il programma di svolgimento del riscaldamento del massetto. Si può impostare una temperatura nominale di mandata propria per una durata massima di 28 giorni separatamente per ogni giorno. La fine del programma massetto viene definita il primo giorno con l'impostazione del valore nominale "- - - -".
screed_day15;Temp programma massetto giorno 15;In questa immissione si può parametrare il programma di svolgimento del riscaldamento del massetto. Si può impostare una temperatura nominale di mandata propria per una durata massima di 28 giorni separatamente per ogni giorno. La fine del programma massetto viene definita il primo giorno con l'impostazione del valore nominale "- - - -".
screed_day16;Temp programma massetto giorno 16;In questa immissione si può parametrare il programma di svolgimento del riscaldamento del massetto. Si può impostare una temperatura nominale di mandata propria per una durata massima di 28 giorni separatamente per ogni giorno. La fine del programma massetto viene definita il primo giorno con l'impostazione del valore nominale "- - - -".
screed_day17;Temp programma massetto giorno 17;In questa immissione si può parametrare il programma di svolgimento del riscaldamento del massetto. Si può impostare una temperatura nominale di mandata propria per una durata massima di 28 giorni separatamente per ogni giorno. La fine del programma massetto viene definita il primo giorno con l'impostazione del valore nominale "- - - -".
screed_day18;Temp programma massetto giorno 18;In questa immissione si può parametrare il programma di svolgimento del riscaldamento del massetto. Si può impostare una temperatura nominale di mandata propria per una durata massima di 28 giorni separatamente per ogni giorno. La fine del programma massetto viene definita il primo giorno con l'impostazione del valore nominale "- - - -".
screed_day19;Temp programma massetto giorno 19;In questa immissione si può parametrare il programma di svolgimento del riscaldamento del massetto. Si può impostare una temperatura nominale di mandata propria per una durata massima di 28 giorni separatamente per ogni giorno. La fine del programma massetto viene definita il primo giorno con l'impostazione del valore nominale "- - - -".
screed_day20;Temp programma massetto giorno 20;In questa immissione si può parametrare il programma di svolgimento del riscaldamento del massetto. Si può impostare una temperatura nominale di mandata propria per una durata massima di 28 giorni separatamente per ogni giorno. La fine del programma massetto viene definita il primo giorno con l'impostazione del valore nominale "- - - -".
screed_day21;Temp programma massetto giorno 21;In questa immissione si può parametrare il programma di svolgimento del riscaldamento del massetto. Si può impostare una temperatura nominale di mandata propria per una durata massima di 28 giorni separatamente per ogni giorno. La fine del programma massetto viene definita il primo giorno con l'impostazione del valore nominale "- - - -".
screed_day22;Temp programma massetto giorno 22;In questa immissione si può parametrare il programma di svolgimento del riscaldamento del massetto. Si può impostare una temperatura nominale di mandata propria per una durata massima di 28 giorni separatamente per ogni giorno. La fine del programma massetto viene definita il primo giorno con l'impostazione del valore nominale "- - - -".
screed_day23;Temp programma massetto giorno 23;In questa immissione si può parametrare il programma di svolgimento del riscaldamento del massetto. Si può impostare una temperatura nominale di mandata propria per una durata massima di 28 giorni separatamente per ogni giorno. La fine del programma massetto viene definita il primo giorno con l'impostazione del valore nominale "- - - -".
screed_day24;Temp programma massetto giorno 24;In questa immissione si può parametrare il programma di svolgimento del riscaldamento del massetto. Si può impostare una temperatura nominale di mandata propria per una durata massima di 28 giorni separatamente per ogni giorno. La fine del programma massetto viene definita il primo giorno con l'impostazione del valore nominale "- - - -".
screed_day25;Temp programma massetto giorno 25;In questa immissione si può parametrare il programma di svolgimento del riscaldamento del massetto. Si può impostare una temperatura nominale di mandata propria per una durata massima di 28 giorni separatamente per ogni giorno. La fine del programma massetto viene definita il primo giorno con l'impostazione del valore nominale "- - - -".
screed_day26;Temp programma massetto giorno 26;In questa immissione si può parametrare il programma di svolgimento del riscaldamento del massetto. Si può impostare una temperatura nominale di mandata propria per una durata massima di 28 giorni separatamente per ogni giorno. La fine del programma massetto viene definita il primo giorno con l'impostazione del valore nominale "- - - -".
screed_day27;Temp programma massetto giorno 27;In questa immissione si può parametrare il programma di svolgimento del riscaldamento del massetto. Si può impostare una temperatura nominale di mandata propria per una durata massima di 28 giorni separatamente per ogni giorno. La fine del programma massetto viene definita il primo giorno con l'impostazione del valore nominale "- - - -".
screed_day28;Temp programma massetto giorno 28;In questa immissione si può parametrare il programma di svolgimento del riscaldamento del massetto. Si può impostare una temperatura nominale di mandata propria per una durata massima di 28 giorni separatamente per ogni giorno. La fine del programma massetto viene definita il primo giorno con l'impostazione del valore nominale "- - - -".
t_out_lim_day;Temp.-Lim Giorno (esterna);Se la temperatura esterna media misurata tramite il regolatore supera la soglia di calore qui impostata di 1 K, il riscaldamento viene bloccato. Il riscaldamento viene sbloccato di nuovo quando la temperatura esterna scende al di sotto della soglia di calore impostata.
t_out_lim_night;Temp.-Lim Notte (esterna);Parametro per l'impostazione del limite di riscaldamento per lo "Spegnimento" del circuito di riscaldamento durante il tempo di riduzione.
t_flow_day;T-Flow Day;(traduzione non disponibile) Setting the inflow target temperature for the heating circuit during the heating time when in operating mode: "Automatic 1", "Automatic 2", "Heating"
t_flow_night;T-Flow night;(traduzione non disponibile) Setting the inflow target temperature for the heating circuit during the setback time when in operating mode: "Automatic 1", "Automatic 2", "Reducing"
max_t_flow;Max T-Flow;La temperatura nominale di mandata del circuito di riscaldamento viene limitata alla temperatura di mandata massima impostata (cioè non salirà sopra)
min_t_flow;Min T-Flow;La temperatura nominale di mandata del circuito di riscaldamento viene aumentata alla temperatura di mandata minima impostata (cioè non scenderà sotto).
hc_adapt;HC Adaption;Funzione per l'impostazione automatica della curva di riscaldamento 0: Disattivato 1: attivato
start_tout_cool;T-esterna inizio Raffredd.;Con questo parametro si fissa a partire da quale temperatura esterna si avvia la modalità di raffrescamento (condizione di impostazione: modalità di raffrescamento). (non tradotto) Setting from which outside temperature the cooling operation with the highest cooling infeed target temperature
max_tout_cool;T-esterna Rafr Max;Con questo parametro viene fissato con quale temperatura esterna viene fornita la temperatura nonimale di mandata di raffrescamento [T-madata inizio Rafredd.] più bassa o il valore nominale ambientale più alto [T-Room max cooling] (condizione di impostazione: modalità di raffrescamento). (non tradotto) Setting to determine from which outdoor temperature the lowest cooling flow temperature
