name;label;description
storage_conf;Storage Config;Configuration of water heating
pres_conf;Pressure Config;Configuring the sensor for assessment of the system water pressure
out_temp_adapt;Outside Temp Adap;Individual adapting for the measured value of the outdoor temperature relevant for the Controller
power_dhw;Power DHW;Heating output of electric auxiliary heater for hot water generation
buh_s1_pow;BUH s1 power;Heat capacity of the ancillary electric heater in Stage 1 heating support
buh_s2_pow;BUH s2 power;Heat capacity of the ancillary electric heater in Stage 2 heating support
power_biv;Power BIV;Setting limits the output of the heating support
tdiff_dhw_ch;TDiff-DHW CH;
t_vbh1_max;T vbh1 max;Setting limits the inflow temperature (measured at tV, BH) with active heating support function
equi_temp;Equilibrium Temp;Setting affects the operation of the potential-free AUX switching contact (toggle switch utput A) defined in the parameter [AUX Fct]
quite_mode;Quite Mode;Mode for low-noise operation with reduced output
aux_fct;AUX Fct;Setting assigns the switching conditions to the potential-free AUX contact (toggle switch output A)
aux_time;AUX time;AUX switching contact (A) switches with a delay when the switching condition is pending for longer than the set time
t_dhw_1_min;T-DHW 1 min;Switching threshold storage tank temperature (Tdhw) for AUX switching contact (see parameter [AUX Fct])
delta_t_ch;Delta-T CH;Set outdoor temperature spread The ROTEX HPSU compact heating circulation pump controls
the flow rate in order to achieve the set spread between the inflow target temperature and the return flow temperature (tV, BH - tR1)
v_var;V var;Current minimum necessary volume flow in the system (calculated value, not configurable)
t_flow_ch_adj;T-Flow CH adj;Only when parameter [Interlink fct] = On. With a closed cooling RT switching contact, the inflow target temperature is increased by the set value
t_flow_cool_adj;T-Flow Cooling adj;Only when parameter [Interlink fct] = On. With a closed cooling RT switching contact, the cooling inflow target temperature is reduced by the set value
min_pressure;Min Pressure;Defines the minimum water pressure
max_pressure;Max Pressure;Defines the maximum water pressure
max_pressure_drop;Max Pressuredrop;Defines the maximum acceptable pressure drop in the heating system
setpoint_pressure;Set Point Pressure;Defines the set water pressure
hc_func;HC Function;Setting defines the type of inflow temperature control
t_frost_protect;T-Frost Protect;0=No frost protection of the heating circuit, Otherwise: If the outside temperature falls below the programmed value, the system switches into the frost protection mode (switches the pumps on). The function ceases once the outside temperature has risen to the set value +1 K 
insulation;Insulation;Setting the insulation standard of the building. This affects the way the heating curve and the heating times automatically adapt to the outside temperature.
screed;Screed;Function for screed drying
screed_day1;Setting the procedural program for screed heating. An individual inflow temperature can be set for each day for a maximum period of 28 days. The end of the screed programme is defined by the 1st. Day at target value setting
screed_day2;Setting the procedural program for screed heating. An individual inflow temperature can be set for each day for a maximum period of 28 days. The end of the screed programme is defined by the 1st. Day at target value setting
screed_day3;Setting the procedural program for screed heating. An individual inflow temperature can be set for each day for a maximum period of 28 days. The end of the screed programme is defined by the 1st. Day at target value setting
screed_day4;Setting the procedural program for screed heating. An individual inflow temperature can be set for each day for a maximum period of 28 days. The end of the screed programme is defined by the 1st. Day at target value setting
screed_day5;Setting the procedural program for screed heating. An individual inflow temperature can be set for each day for a maximum period of 28 days. The end of the screed programme is defined by the 1st. Day at target value setting
screed_day6;Setting the procedural program for screed heating. An individual inflow temperature can be set for each day for a maximum period of 28 days. The end of the screed programme is defined by the 1st. Day at target value setting
screed_day7;Setting the procedural program for screed heating. An individual inflow temperature can be set for each day for a maximum period of 28 days. The end of the screed programme is defined by the 1st. Day at target value setting
screed_day8;Setting the procedural program for screed heating. An individual inflow temperature can be set for each day for a maximum period of 28 days. The end of the screed programme is defined by the 1st. Day at target value setting
screed_day9;Setting the procedural program for screed heating. An individual inflow temperature can be set for each day for a maximum period of 28 days. The end of the screed programme is defined by the 1st. Day at target value setting
screed_day10;Setting the procedural program for screed heating. An individual inflow temperature can be set for each day for a maximum period of 28 days. The end of the screed programme is defined by the 1st. Day at target value setting
screed_day11;Setting the procedural program for screed heating. An individual inflow temperature can be set for each day for a maximum period of 28 days. The end of the screed programme is defined by the 1st. Day at target value setting
screed_day12;Setting the procedural program for screed heating. An individual inflow temperature can be set for each day for a maximum period of 28 days. The end of the screed programme is defined by the 1st. Day at target value setting
screed_day13;Setting the procedural program for screed heating. An individual inflow temperature can be set for each day for a maximum period of 28 days. The end of the screed programme is defined by the 1st. Day at target value setting
screed_day14;Setting the procedural program for screed heating. An individual inflow temperature can be set for each day for a maximum period of 28 days. The end of the screed programme is defined by the 1st. Day at target value setting
screed_day15;Setting the procedural program for screed heating. An individual inflow temperature can be set for each day for a maximum period of 28 days. The end of the screed programme is defined by the 1st. Day at target value setting
screed_day16;Setting the procedural program for screed heating. An individual inflow temperature can be set for each day for a maximum period of 28 days. The end of the screed programme is defined by the 1st. Day at target value setting
screed_day17;Setting the procedural program for screed heating. An individual inflow temperature can be set for each day for a maximum period of 28 days. The end of the screed programme is defined by the 1st. Day at target value setting
screed_day18;Setting the procedural program for screed heating. An individual inflow temperature can be set for each day for a maximum period of 28 days. The end of the screed programme is defined by the 1st. Day at target value setting
screed_day19;Setting the procedural program for screed heating. An individual inflow temperature can be set for each day for a maximum period of 28 days. The end of the screed programme is defined by the 1st. Day at target value setting
screed_day20;Setting the procedural program for screed heating. An individual inflow temperature can be set for each day for a maximum period of 28 days. The end of the screed programme is defined by the 1st. Day at target value setting
screed_day21;Setting the procedural program for screed heating. An individual inflow temperature can be set for each day for a maximum period of 28 days. The end of the screed programme is defined by the 1st. Day at target value setting
screed_day22;Setting the procedural program for screed heating. An individual inflow temperature can be set for each day for a maximum period of 28 days. The end of the screed programme is defined by the 1st. Day at target value setting
screed_day23;Setting the procedural program for screed heating. An individual inflow temperature can be set for each day for a maximum period of 28 days. The end of the screed programme is defined by the 1st. Day at target value setting
screed_day24;Setting the procedural program for screed heating. An individual inflow temperature can be set for each day for a maximum period of 28 days. The end of the screed programme is defined by the 1st. Day at target value setting
screed_day25;Setting the procedural program for screed heating. An individual inflow temperature can be set for each day for a maximum period of 28 days. The end of the screed programme is defined by the 1st. Day at target value setting
screed_day26;Setting the procedural program for screed heating. An individual inflow temperature can be set for each day for a maximum period of 28 days. The end of the screed programme is defined by the 1st. Day at target value setting
screed_day27;Setting the procedural program for screed heating. An individual inflow temperature can be set for each day for a maximum period of 28 days. The end of the screed programme is defined by the 1st. Day at target value setting
screed_day28;Setting the procedural program for screed heating. An individual inflow temperature can be set for each day for a maximum period of 28 days. The end of the screed programme is defined by the 1st. Day at target value setting
t_out_lim_day;T-Outside lim day;Setting the automatic summer shutdown of the heating system. If the outside temperature measured and averaged out by the controller exceeds the set value by 1 K, the heating circuit is switched off. The heating is released again if the outdoor temperature falls below the set heat curve
t_out_lim_night;T-Outside lim night;Parameter for setting the heating limit for "Switch-off" of the heating circuit during economy mode
t_flow_day;T-Flow Day;Setting the inflow target temperature for the heating circuit during the heating time when in operating mode: "Automatic 1", "Automatic 2", "Heating"
t_flow_night; Setting the inflow target temperature for the heating circuit during the setback time when in operating mode: "Automatic 1", "Automatic 2", "Reducing"
max_t_flow;Max T-Flow;The inflow temperature determined for the heating circuit is limited to the maximum value set here
min_t_flow;Min T-Flow;The inflow temperature determined for the heating circuit is limited to the minimum value set here
hc_adapt;HC Adaption;
start_tout_cool;Start T-Out Cooling;Setting from which outside temperature the cooling operation with the highest cooling infeed target temperature
max_tout_cool;Max T-Out Cooling;Setting to determine from which outdoor temperature the lowest cooling flow temperature
t_flow_cool_start;T-Flow Cooling start;Setting the cooling inflow target temperature at the start of cooling mode
t_flow_cool_max;T-Flow Cooling max;Setting the minimum cooling inflow target temperature. This is kept constant relative to the outside temperature
min_t_flow_cool;Min T-Flow Cooling;Setting the absolute lower limit of the cooling inflow target temperature. The limitation is effective if a lower cooling inflow target temperature is determined based on other parameter settings
t_flow_cool;T-Flow Cooling;Setting the cooling inflow target temperature (fixed value) when cooling mode is active
cool_setpoint_adj;Cooling Setpoint adj;Parallel displacement of the cooling characteristic curve to match the set value
circ_pump_dhw;Circl-Pump DHW;Setting for activating a circulation pump
circ_pump_interval;Circl-Pump Interval;Setting the interval control for an optional circulation pump
anti_leg_day;Anti-Legionella day;Setting the day for the thermal disinfection of the circulating tank
anti_leg_time;Anti-Legionella time;Setting the start time of the thermal disinfection of the hot water circulating tank
anti_leg_temp;Anti-Legionella temp;Setting the hot water target temperature during thermal disinfection of the hot water circulating tank
max_dhw_loading;Max DHW loading;Setting limits the time period for hot water generation to the set target value
dhw_off_time;DHW Off Time;Setting the block time following completion or interruption of a hot water generation cycle. New demand of hot water generation is satisfied only after expiry of this block time
one_hot_water;1x Hot Water;Start of the one-off heating up of the hot water and the set value [T-DHW Setpoint 1], independent of the heating programmes
hyst_hp;Hyst HP;Switching threshold hot water charging
timer_boh;Timer BOH;Delay time after which the reserve heating may support the heat pump in hot water charging
t_reduced;T-Reduced;Target room temperature for the setback times for the permanent timer programmes [Automatic 1] and [Automatic 2]
t_absence;T-Absence;Target room temperature for the setback times for the temporary timer programmes  [Away] and [Vacation]
